"id","n","label","parent"
"total -  Adventure  -  Turkey","124","Turkey","total -  Adventure"
"total -  Comedy  -  Turkey","151","Turkey","total -  Comedy"
"total -  Crime  -  Turkey","155","Turkey","total -  Crime"
"total -  Drama  -  Turkey","371","Turkey","total -  Drama"
"total -  Fantasy  -  Turkey","68","Turkey","total -  Fantasy"
"total -  Horror  -  Turkey","41","Turkey","total -  Horror"
"total -  Mystery  -  Turkey","62","Turkey","total -  Mystery"
"total -  Romance  -  Turkey","76","Turkey","total -  Romance"
"total -  Thriller  -  Turkey","86","Turkey","total -  Thriller"
"total -  Action  -  Ukraine","213","Ukraine","total -  Action"
"total -  Adventure  -  Ukraine","138","Ukraine","total -  Adventure"
"total -  Animation  -  Ukraine","63","Ukraine","total -  Animation"
"total -  Comedy  -  Ukraine","200","Ukraine","total -  Comedy"
"total -  Crime  -  Ukraine","173","Ukraine","total -  Crime"
"total -  Drama  -  Ukraine","324","Ukraine","total -  Drama"
"total -  Fantasy  -  Ukraine","32","Ukraine","total -  Fantasy"
"total -  Mystery  -  Ukraine","43","Ukraine","total -  Mystery"
"total -  Romance  -  Ukraine","73","Ukraine","total -  Romance"
"total -  Sci Fi  -  Ukraine","32","Ukraine","total -  Sci Fi"
"total -  Thriller  -  Ukraine","65","Ukraine","total -  Thriller"
"total -  Action  -  United Arab Emirates","201","United Arab Emirates","total -  Action"
"total -  Adventure  -  United Arab Emirates","120","United Arab Emirates","total -  Adventure"
"total -  Animation  -  United Arab Emirates","34","United Arab Emirates","total -  Animation"
"total -  Comedy  -  United Arab Emirates","170","United Arab Emirates","total -  Comedy"
"total -  Crime  -  United Arab Emirates","136","United Arab Emirates","total -  Crime"
"total -  Drama  -  United Arab Emirates","332","United Arab Emirates","total -  Drama"
"total -  Fantasy  -  United Arab Emirates","41","United Arab Emirates","total -  Fantasy"
"total -  Mystery  -  United Arab Emirates","47","United Arab Emirates","total -  Mystery"
"total -  Romance  -  United Arab Emirates","110","United Arab Emirates","total -  Romance"
"total -  Thriller  -  United Arab Emirates","70","United Arab Emirates","total -  Thriller"
"total -  Action  -  United Kingdom","178","United Kingdom","total -  Action"
"total -  Adventure  -  United Kingdom","139","United Kingdom","total -  Adventure"
"total -  Animation  -  United Kingdom","55","United Kingdom","total -  Animation"
"total -  Comedy  -  United Kingdom","211","United Kingdom","total -  Comedy"
"total -  Crime  -  United Kingdom","113","United Kingdom","total -  Crime"
"total -  Drama  -  United Kingdom","283","United Kingdom","total -  Drama"
"total -  Mystery  -  United Kingdom","38","United Kingdom","total -  Mystery"
"total -  Romance  -  United Kingdom","91","United Kingdom","total -  Romance"
"total -  Sci Fi  -  United Kingdom","39","United Kingdom","total -  Sci Fi"
"total -  Thriller  -  United Kingdom","53","United Kingdom","total -  Thriller"
"total -  Action  -  United States","141","United States","total -  Action"
"total -  Adventure  -  United States","108","United States","total -  Adventure"
"total -  Animation  -  United States","43","United States","total -  Animation"
"total -  Comedy  -  United States","166","United States","total -  Comedy"
"total -  Crime  -  United States","105","United States","total -  Crime"
"total -  Drama  -  United States","291","United States","total -  Drama"
"total -  Mystery  -  United States","54","United States","total -  Mystery"
"total -  Romance  -  United States","70","United States","total -  Romance"
"total -  Sci Fi  -  United States","38","United States","total -  Sci Fi"
"total -  Thriller  -  United States","52","United States","total -  Thriller"
"total -  Action  -  Uruguay","132","Uruguay","total -  Action"
"total -  Adventure  -  Uruguay","99","Uruguay","total -  Adventure"
"total -  Animation  -  Uruguay","44","Uruguay","total -  Animation"
"total -  Comedy  -  Uruguay","163","Uruguay","total -  Comedy"
"total -  Crime  -  Uruguay","148","Uruguay","total -  Crime"
"total -  Drama  -  Uruguay","365","Uruguay","total -  Drama"
"total -  Music  -  Uruguay","47","Uruguay","total -  Music"
"total -  Mystery  -  Uruguay","55","Uruguay","total -  Mystery"
"total -  Romance  -  Uruguay","81","Uruguay","total -  Romance"
"total -  Thriller  -  Uruguay","81","Uruguay","total -  Thriller"
"total -  Action  -  Venezuela","131","Venezuela","total -  Action"
"total -  Adventure  -  Venezuela","79","Venezuela","total -  Adventure"
"total -  Animation  -  Venezuela","33","Venezuela","total -  Animation"
"total -  Comedy  -  Venezuela","177","Venezuela","total -  Comedy"
"total -  Crime  -  Venezuela","119","Venezuela","total -  Crime"
"total -  Drama  -  Venezuela","323","Venezuela","total -  Drama"
"total -  Music  -  Venezuela","32","Venezuela","total -  Music"
"total -  Mystery  -  Venezuela","40","Venezuela","total -  Mystery"
"total -  Romance  -  Venezuela","115","Venezuela","total -  Romance"
"total -  Thriller  -  Venezuela","80","Venezuela","total -  Thriller"
"total -  Action  -  Vietnam","254","Vietnam","total -  Action"
"total -  Adventure  -  Vietnam","135","Vietnam","total -  Adventure"
"total -  Comedy  -  Vietnam","237","Vietnam","total -  Comedy"
"total -  Crime  -  Vietnam","127","Vietnam","total -  Crime"
"total -  Drama  -  Vietnam","321","Vietnam","total -  Drama"
"total -  Fantasy  -  Vietnam","46","Vietnam","total -  Fantasy"
"total -  Mystery  -  Vietnam","54","Vietnam","total -  Mystery"
"total -  Romance  -  Vietnam","124","Vietnam","total -  Romance"
"total -  Sci Fi  -  Vietnam","55","Vietnam","total -  Sci Fi"
"total -  Thriller  -  Vietnam","82","Vietnam","total -  Thriller"
