"id","n","label","parent"
"total -  Thriller  -  Denmark","58","Denmark","total -  Thriller"
"total -  Action  -  Dominican Republic","172","Dominican Republic","total -  Action"
"total -  Adventure  -  Dominican Republic","112","Dominican Republic","total -  Adventure"
"total -  Animation  -  Dominican Republic","46","Dominican Republic","total -  Animation"
"total -  Comedy  -  Dominican Republic","154","Dominican Republic","total -  Comedy"
"total -  Crime  -  Dominican Republic","119","Dominican Republic","total -  Crime"
"total -  Drama  -  Dominican Republic","284","Dominican Republic","total -  Drama"
"total -  Music  -  Dominican Republic","34","Dominican Republic","total -  Music"
"total -  Mystery  -  Dominican Republic","37","Dominican Republic","total -  Mystery"
"total -  Romance  -  Dominican Republic","82","Dominican Republic","total -  Romance"
"total -  Thriller  -  Dominican Republic","76","Dominican Republic","total -  Thriller"
"total -  Action  -  Ecuador","141","Ecuador","total -  Action"
"total -  Adventure  -  Ecuador","119","Ecuador","total -  Adventure"
"total -  Animation  -  Ecuador","65","Ecuador","total -  Animation"
"total -  Comedy  -  Ecuador","205","Ecuador","total -  Comedy"
"total -  Crime  -  Ecuador","88","Ecuador","total -  Crime"
"total -  Drama  -  Ecuador","268","Ecuador","total -  Drama"
"total -  Music  -  Ecuador","35","Ecuador","total -  Music"
"total -  Mystery  -  Ecuador","34","Ecuador","total -  Mystery"
"total -  Romance  -  Ecuador","98","Ecuador","total -  Romance"
"total -  Thriller  -  Ecuador","64","Ecuador","total -  Thriller"
"total -  Action  -  Egypt","183","Egypt","total -  Action"
"total -  Adventure  -  Egypt","112","Egypt","total -  Adventure"
"total -  Comedy  -  Egypt","162","Egypt","total -  Comedy"
"total -  Crime  -  Egypt","113","Egypt","total -  Crime"
"total -  Drama  -  Egypt","336","Egypt","total -  Drama"
"total -  Fantasy  -  Egypt","38","Egypt","total -  Fantasy"
"total -  Mystery  -  Egypt","43","Egypt","total -  Mystery"
"total -  Romance  -  Egypt","96","Egypt","total -  Romance"
"total -  Sci Fi  -  Egypt","33","Egypt","total -  Sci Fi"
"total -  Thriller  -  Egypt","70","Egypt","total -  Thriller"
"total -  Action  -  El Salvador","134","El Salvador","total -  Action"
"total -  Adventure  -  El Salvador","107","El Salvador","total -  Adventure"
"total -  Animation  -  El Salvador","60","El Salvador","total -  Animation"
"total -  Comedy  -  El Salvador","188","El Salvador","total -  Comedy"
"total -  Crime  -  El Salvador","102","El Salvador","total -  Crime"
"total -  Drama  -  El Salvador","288","El Salvador","total -  Drama"
"total -  Music  -  El Salvador","32","El Salvador","total -  Music"
"total -  Mystery  -  El Salvador","35","El Salvador","total -  Mystery"
"total -  Romance  -  El Salvador","105","El Salvador","total -  Romance"
"total -  Thriller  -  El Salvador","63","El Salvador","total -  Thriller"
"total -  Action  -  Estonia","185","Estonia","total -  Action"
"total -  Adventure  -  Estonia","127","Estonia","total -  Adventure"
"total -  Animation  -  Estonia","51","Estonia","total -  Animation"
"total -  Comedy  -  Estonia","203","Estonia","total -  Comedy"
"total -  Crime  -  Estonia","112","Estonia","total -  Crime"
"total -  Drama  -  Estonia","277","Estonia","total -  Drama"
"total -  Mystery  -  Estonia","56","Estonia","total -  Mystery"
"total -  Romance  -  Estonia","82","Estonia","total -  Romance"
"total -  Sci Fi  -  Estonia","57","Estonia","total -  Sci Fi"
"total -  Thriller  -  Estonia","55","Estonia","total -  Thriller"
"total -  Action  -  Finland","190","Finland","total -  Action"
"total -  Adventure  -  Finland","118","Finland","total -  Adventure"
"total -  Animation  -  Finland","55","Finland","total -  Animation"
"total -  Comedy  -  Finland","180","Finland","total -  Comedy"
"total -  Crime  -  Finland","145","Finland","total -  Crime"
"total -  Drama  -  Finland","329","Finland","total -  Drama"
"total -  Fantasy  -  Finland","36","Finland","total -  Fantasy"
"total -  Mystery  -  Finland","48","Finland","total -  Mystery"
"total -  Romance  -  Finland","75","Finland","total -  Romance"
"total -  Thriller  -  Finland","60","Finland","total -  Thriller"
"total -  Action  -  France","201","France","total -  Action"
"total -  Adventure  -  France","136","France","total -  Adventure"
"total -  Animation  -  France","46","France","total -  Animation"
"total -  Comedy  -  France","163","France","total -  Comedy"
"total -  Crime  -  France","145","France","total -  Crime"
"total -  Drama  -  France","330","France","total -  Drama"
"total -  Fantasy  -  France","57","France","total -  Fantasy"
"total -  Mystery  -  France","46","France","total -  Mystery"
"total -  Romance  -  France","77","France","total -  Romance"
"total -  Thriller  -  France","76","France","total -  Thriller"
