"parents","n","labels","id"
"Brazil",4," Adult","Brazil  -   Adult"
"Brazil",162," Adventure","Brazil  -   Adventure"
"Brazil",68," Animation","Brazil  -   Animation"
"Brazil",6," Biography","Brazil  -   Biography"
"Brazil",173," Comedy","Brazil  -   Comedy"
"Brazil",117," Crime","Brazil  -   Crime"
"Brazil",24," Documentary","Brazil  -   Documentary"
"Brazil",294," Drama","Brazil  -   Drama"
"Brazil",105," Family","Brazil  -   Family"
"Brazil",24," Fantasy","Brazil  -   Fantasy"
"Brazil",4," Game Show","Brazil  -   Game Show"
"Brazil",1," History","Brazil  -   History"
"Brazil",22," Horror","Brazil  -   Horror"
"Brazil",43," Music","Brazil  -   Music"
"Brazil",51," Musical","Brazil  -   Musical"
"Brazil",40," Mystery","Brazil  -   Mystery"
"Brazil",11," Reality TV","Brazil  -   Reality TV"
"Brazil",116," Romance","Brazil  -   Romance"
"Brazil",23," Sci Fi","Brazil  -   Sci Fi"
"Brazil",5," Sport","Brazil  -   Sport"
"Brazil",6," Talk Show","Brazil  -   Talk Show"
"Brazil",63," Thriller","Brazil  -   Thriller"
"Brazil",2," War","Brazil  -   War"
"Brazil",2," Western","Brazil  -   Western"
"Bulgaria",214," Action","Bulgaria  -   Action"
"Bulgaria",3," Adult","Bulgaria  -   Adult"
"Bulgaria",133," Adventure","Bulgaria  -   Adventure"
"Bulgaria",45," Animation","Bulgaria  -   Animation"
"Bulgaria",8," Biography","Bulgaria  -   Biography"
"Bulgaria",184," Comedy","Bulgaria  -   Comedy"
"Bulgaria",128," Crime","Bulgaria  -   Crime"
"Bulgaria",28," Documentary","Bulgaria  -   Documentary"
"Bulgaria",306," Drama","Bulgaria  -   Drama"
"Bulgaria",23," Family","Bulgaria  -   Family"
"Bulgaria",41," Fantasy","Bulgaria  -   Fantasy"
"Bulgaria",10," Game Show","Bulgaria  -   Game Show"
"Bulgaria",1," History","Bulgaria  -   History"
"Bulgaria",24," Horror","Bulgaria  -   Horror"
"Bulgaria",4," Music","Bulgaria  -   Music"
"Bulgaria",1," Musical","Bulgaria  -   Musical"
"Bulgaria",43," Mystery","Bulgaria  -   Mystery"
"Bulgaria",14," Reality TV","Bulgaria  -   Reality TV"
"Bulgaria",97," Romance","Bulgaria  -   Romance"
"Bulgaria",47," Sci Fi","Bulgaria  -   Sci Fi"
"Bulgaria",10," Sport","Bulgaria  -   Sport"
"Bulgaria",11," Talk Show","Bulgaria  -   Talk Show"
"Bulgaria",61," Thriller","Bulgaria  -   Thriller"
"Bulgaria",3," War","Bulgaria  -   War"
"Bulgaria",5," Western","Bulgaria  -   Western"
"Canada",175," Action","Canada  -   Action"
"Canada",3," Adult","Canada  -   Adult"
"Canada",111," Adventure","Canada  -   Adventure"
"Canada",50," Animation","Canada  -   Animation"
"Canada",22," Biography","Canada  -   Biography"
"Canada",168," Comedy","Canada  -   Comedy"
"Canada",153," Crime","Canada  -   Crime"
"Canada",31," Documentary","Canada  -   Documentary"
"Canada",297," Drama","Canada  -   Drama"
"Canada",16," Family","Canada  -   Family"
"Canada",28," Fantasy","Canada  -   Fantasy"
"Canada",1," Film Noir","Canada  -   Film Noir"
"Canada",7," Game Show","Canada  -   Game Show"
"Canada",5," History","Canada  -   History"
"Canada",29," Horror","Canada  -   Horror"
"Canada",4," Music","Canada  -   Music"
"Canada",1," Musical","Canada  -   Musical"
"Canada",61," Mystery","Canada  -   Mystery"
